	Unnamed: 0	comments	toxicity	preprocessed
0	25	"[id695904995|Ярослав], как же обо%рался ОКР когда отправили спортсменку в командный зачёт с допингом от 25 декабря, подставили не только Камилу но и всю команду. Повыгонять этих гадов в шею...  P.S. КРЕМЛЕБОТ готов написать ""ВПЕРЁД РОССИЯ!!?!"" только за 15 рублей."	1	"[id695904995|Ярослав], как же обосранец очко когда отправили спортсменку в командный зачёт с допингом от 25 декабря, подставили не только Камилу но и всю команду. Повыгонять этих гадов в шею...  бля хуеплет готов написать ""ВПЕРЁД РОССИЯ!!?!"" только за 15 рублей."
1	31	[id483002399|Максим], дол..еб, ты под каждым постом это писать будешь?	1	[id483002399|Максим], долбоеб ты под каждым постом это писать будешь?
2	33	[id483002399|Максим], лахтодырка-это твоя мама) А ты просто д.бил с пивным животом??	1	[id483002399|Максим], лахтодырка твоя мама) А ты просто дебил с пивным животом??
3	34	[id238092031|?лег], от школоты иного ответа, кроме как про мамок и не ожидалось, лахтодырка ??! Пиcдyй, учебник кури??.	1	[id238092031|?лег], от школота иного ответа, кроме как про мамок и не ожидалось, лахтодырка ??! пиздуй учебник кури??.
4	36	[id238092031|?лег], нет, лахтодырка ??, грамотный. Просто автофильтр здесь не пропустит, если правильно написать.  Уеище тyпое, ты даже этого не знало?????	1	[id238092031|?лег], нет, лахтодырка ??, грамотный. Просто автофильтр здесь не пропустит, если правильно написать.  уебище тупой ты даже этого не знало?????
5	39	[id483002399|Максим], у тебя всё вроде ожидаемо, но свою девственность ан.льную ты проворонил, Машка)	1	[id483002399|Максим], у тебя всё вроде ожидаемо, но свою девственность ебальник ты проворонил, Машка)
6	97	Сколько на….вертил под конец, идиот, извинился, пожаловался, поскулил, поплакал, приехал, уехал, распылил, пнул. Вообще такого урода не жалко	1	Сколько набздел под конец, идиот, извинился, пожаловался, поскулил, поплакал, приехал, уехал, распылил, пнул. Вообще такого урода не жалко
7	163	По чужим х@м попрыгала, а теперь о муже вспомнила?	1	По чужим хер попрыгала, а теперь о муже вспомнила?
8	215	[id89027568|Славик], нет, понятное дело что США тоже имееют какую то выгоду с этого. Но зачем Путин стянул такое количество войск? Ну мобилизовал бы 10-20 тыс человек там. Типо ты реально считаешь, что украинская армия, даже если захватит ЛДНР военным путём, пойдет дальше захватывать РФ? Или какой бл*ть в этом смысл?	0	[id89027568|Славик], нет, понятное дело что США тоже черт какую то выгоду с этого. Но зачем Путин стянул такое количество войск? Ну мобилизовал бы бля тыс человек там. тупой ты реально считаешь, что украинская армия, даже если захватит пидор военным путём, пойдет дальше захватывать РФ? Или какой блять в этом смысл?
9	216	[id157184976|Дмитрий], у хо(х)луш там тоже армия стоит и ничего.	1	[id157184976|Дмитрий], у похеру там тоже армия стоит и ничего.
10	219	[id157184976|Дмитрий], Боевики захватили не их землю, а свою. Во первых. А во вторых садись за стол переговоров и подписывай с ними мирный договор. Дай этим людям то что они хотят а хотят они справделивое - свои права на свою землю и на своё будущее. И воевать не нужно будет. А вместо этого ты говоришь х*й тебе я вас всех убью но ничего вам не дам, вы прогнётесь и будете подчиняться нам живущим во Львове и мы будем решать на каком языке будут говорить ваши дети - то кто тут боевик и окупант ?	0	[id157184976|Дмитрий], Боевики захватили не их землю, а свою. Во первых. А во вторых садись за стол переговоров и подписывай с ними мирный договор. Дай этим людям то что они хотят а хотят они пердение - свои права на свою землю и на своё будущее. И воевать не нужно будет. А вместо этого ты говоришь хуй тебе я вас всех убью но ничего вам не дам, вы прогнётесь и будете подчиняться нам живущим во Львове и мы будем решать на каком языке будут говорить ваши дети - то кто тут боевик и шкура ?
11	255	Возобновят обсуждение, когда цены на продукты опять скачкообразно поднимутся. То на Олимпиадах присоединяют Крым, увеличивают пенсионный возраст, то когда экономическая ж.,вспоминают о ценностях и качают  патриотизм. «Отвлекай и властвуй»	0	Возобновят обсуждение, когда цены на продукты опять скачкообразно поднимутся. То на Олимпиадах присоединяют Крым, увеличивают пенсионный возраст, то когда экономическая говнолинк о ценностях и качают  патриотизм. говенка и нахуй
12	259	[id3986424|Антон], мозги - москальская выдумка, чтоб ххлов унижать	1	[id3986424|Антон], мозги - высраться выдумка, чтоб хуйло унижать
13	293	#иды поди.	1	#иды поди.
14	323	[id613406373|Kirill], запиши себе на лбу , что ты ч м о , без мозга , но с большим желудком .	1	[id613406373|Kirill], запиши себе на лбу , что ты ч м о , без мозга , но с большим желудком .
15	367	[id117606926|Кирилл], так в чём разница то клоун?)) какая нах разница сколько туров и президентов, смысл от этого не меняется. что у тебя в стране изменилось за эти 20 лет и 4 президентов?))) не КУЯ. и причём здесь вообще Россия? чувак херачит что у вас там всё особенное, не в отличии от России, а в принципе от всех.	1	[id117606926|Кирилл], так в чём разница то клоун?)) какая нахуй разница сколько туров и президентов, смысл от этого не меняется. что у тебя в стране изменилось за эти 20 лет и 4 президентов?))) не КУЯ. и причём здесь вообще Россия? чувак ебучий что у вас там всё особенное, не в отличии от России, а в принципе от всех.
16	371	[id117606926|Кирилл], пхахахах руснявое быдло))) всё с тобой ясно, малолетний клоун. простынь отсебятины и бессмыслицы. и кумиры смотрю у тебя под стать чикатило. бендера и власов герои 3.14дарасов.	1	[id117606926|Кирилл], ибанамат хуйня быдло))) всё с тобой ясно, малолетний клоун. простынь отсебятины и бессмыслицы. и кумиры смотрю у тебя под стать ебало педерас и власов герои пидорас
17	417	"""что если бы стал президентом, то закрыл бы все театры, потому что это «даст возможность вернуть людей в церковь»"". // То есть церковь, как податель массзрелищ, проигрывает в этом отношении театрам?  Он сам понял, что сказал? Придурков из дурки набрали. Кто там, бл, сидит?! // ""Членов ЛГБТ, феминисток и прочих странных граждан"" меня тошнит от этих персонажей, но они тоже граждане. И тоже согласно конституции имеют право на учёт своего мнения. // Понятно было сразу, что появившись, проект просто так не уйдет. ""Все, кто проголосовал против, боты"". С самого начала было понятно, что против голосовать бессмысленно, все равно примут. Нужны глубокие поправки с разъяснением, чего и как затрагивает этот указ. В имеющемся формате — это инструмент для узаконенной реализации ""чего моя левая нога хочет"". Я писал об этом у Панчина, но похоже люди решили просто спрятать голову в песок."	0	"""что если бы стал президентом, то закрыл бы все театры, потому что это дрист возможность вернуть людей в херовато // То есть церковь, как податель напиздели проигрывает в этом отношении театрам?  Он сам понял, что сказал? Придурков из суки набрали. Кто там, бля сидит?! // ""Членов бля феминисток и прочих странных граждан"" меня тошнит от этих персонажей, но они тоже граждане. И тоже согласно конституции имеют право на учёт своего мнения. // Понятно было сразу, что появившись, проект просто так не уйдет. ""Все, кто проголосовал против, боты"". С самого начала было понятно, что против голосовать бессмысленно, все равно примут. Нужны глубокие поправки с разъяснением, чего и как затрагивает этот указ. В имеющемся формате бля это инструмент для узаконенной реализации ""чего моя левая нога хочет"". Я писал об этом у мандища но похоже люди решили просто спрятать голову в песок."
18	572	[id12908969|Mikhail], а эти чинуши или их дети за 20 лет что-то сделали конкурентное? Государственных денег не хватит, учитывая, что большая часть разворовывается .. а клиентура - это вообще смешно ... кто этим гоуном будет пользоваться? Даже УАЗ загибается, имея госплечо ... никому не надо его продукция ...	1	[id12908969|Mikhail], а эти чинуши или их дети за 20 лет что-то сделали конкурентное? Государственных денег не хватит, учитывая, что большая часть разворовывается .. а клиентура - это вообще смешно ... кто этим говном будет пользоваться? Даже УАЗ загибается, имея говнецо ... никому не надо его продукция ...
19	576	Принятие такого рода ограничительных мер, мешающих работе государственных организаций - это вредительство на законодательном уровне. Сперва они запрещают закупать нормальный софт, теперь грозятся наложить свои лапы на нормальное железо… А тем, кому придётся на этом г-не работать достанется только низкооплачиваемая головная боль.	1	Принятие такого рода ограничительных мер, мешающих работе государственных организаций - это вредительство на законодательном уровне. Сперва они запрещают закупать нормальный софт, теперь грозятся наложить свои лапы на нормальное ушлепок А тем, кому придётся на этом г-не работать достанется только низкооплачиваемая головная боль.
20	578	[id452831118|Александр], наоборот. Пусть развивают, и выпускают на рынок конкурентоспособные продукты. А не искусственно создают нишевую монополию для гaвнoделов, которые станут обогащаться, массово толкая свой мусор на госзакупках и госзаказах. При условиях, в которых всё равно купят за неимением лучшего, развития не будет.	1	[id452831118|Александр], наоборот. Пусть развивают, и выпускают на рынок конкурентоспособные продукты. А не искусственно создают нехуй монополию для говнецо которые станут обогащаться, массово толкая свой мусор на госзакупках и госзаказах. При условиях, в которых всё равно купят за неимением лучшего, развития не будет.
21	592	[id452831118|Александр], так государственное предприятие будет закупать всякое гумно, тратя на это государственные деньги, и потом рентабельность и эффективность этих предприятий будет стремиться к нулю. Далее из бюджета, который состоит в том числе из налогов граждан, эти предприятия будут спасаться. Вот и нахрен оно такое надо?	0	[id452831118|Александр], так государственное предприятие будет закупать всякое гумно, тратя на это государственные деньги, и потом рентабельность и эффективность этих предприятий будет стремиться к нулю. Далее из бюджета, который состоит в том числе из налогов граждан, эти предприятия будут спасаться. Вот и нахрен оно такое надо?
22	643	Девальвация валюты, быдловатая внешняя политика, узурпация власти, государственная монополизация и уничтожение всей оппозиции. Нет, А дАвАйТе ВсЮ нЕдЕлЮ оБсУжДаТь ФрАзУ пУтЕнА!!11)))11 Тактика отвлечения народа всякой х.йней работает на Ура уже десяток лет	0	Девальвация валюты, пиздоватая внешняя политика, узурпация власти, государственная монополизация и уничтожение всей оппозиции. Нет, А дАвАйТе ВсЮ нЕдЕлЮ оБсУжДаТь ФрАзУ путин Тактика отвлечения народа всякой хуйня работает на Ура уже десяток лет
23	690	[id8890532|Дмитрiй], ой, шлюhа проецирует свою прожадность на людей с неудобным мнением, спешите видеть.	1	[id8890532|Дмитрiй], ой, шлюха проецирует свою промандеть на людей с неудобным мнением, спешите видеть.
24	703	Ху***е этого гомика????	1	хуе этого гомика????
25	725	"[id504424660|Алиса], ""молодцы"" уже получили заслуженных 3.14здюлей от полиции и разбежались. Биомусор разогнан, движение по мосту снова открыто??"	1	"[id504424660|Алиса], ""молодцы"" уже получили заслуженных пиздюлей от полиции и разбежались. пидор разогнан, движение по мосту снова открыто??"
26	742	[id5534448|Илья], вопроса вообще не было, идuoт. Ты попросил, а не спросил. Причем в приказном тоне.человеку, не ведущему с тобой диалог. Пошел к черту вообще) Иди дальше слушай копирку Iron Maiden, которым гострайтят поэты и поэтессы)	1	[id5534448|Илья], вопроса вообще не было, блять Ты попросил, а не спросил. Причем в приказном конченый не ведущему с тобой диалог. Пошел к черту вообще) Иди дальше слушай копирку бля бля которым посрать поэты и поэтессы)
27	804	[id620068382|Владимир], поэтому спизд*ла ковер и холодильник.	0	[id620068382|Владимир], поэтому спиздила ковер и холодильник.
28	915	[id496882193|Александр], Одно ясно - Воронежу п3дц	0	[id496882193|Александр], Одно ясно - Воронежу пидор
29	917	"[id1143480|Дмитрий], ну да, наша так, ""насрать на санкции"", ""д,билы 9ть"", ""мочить в сортирах"", ""нравится не нравится"""	0	"[id1143480|Дмитрий], ну да, наша так, насрать на санкции"", дебил бля ""мочить в сортирах"", ""нравится не нравится"""
30	970	[id100193333|Art?rs], кстати, лучше бухая мамка в борделе, чем два батька 3.14дораса, которые такого воспитали	1	[id100193333|Art?rs], кстати, лучше бухая мамка в борделе, чем два батька пидорас которые такого воспитали
31	1006	[id216178069|Саша], ой так смешно, просто пиzдец, ты осознаешь что твоя шутка прокатит только в соц сети Одноклассники?	0	[id216178069|Саша], ой так смешно, просто пиздец ты осознаешь что твоя шутка прокатит только в лох сети Одноклассники?
32	1009	[id500814926|Олег], ох уж эта однобокость дырявых комментаторов. Бесят питары а точнее их пропаганда, значит сам латентный ????	1	[id500814926|Олег], ох уж эта однобокость дырявых комментаторов. Бесят пидары а точнее их пропаганда, значит сам латентный ????
33	1052	[id446158458|Arina], тупых пе?зд вроде тебя тоже хватает :)	1	[id446158458|Arina], тупых петух вроде тебя тоже хватает :)
34	1069	В это время я обычно дроччу, смотрю мультики и кушаю. 24 года	0	В это время я обычно дрочун смотрю мультики и кушаю. 24 года
35	1082	прощай рубль ты был нам как друг...  PS. ну может Путин не подпишет это х..ню, ну не подпишет же, да???	0	прощай рубль ты был нам как друг...  бля ну может Путин не подпишет это хуйня ну не подпишет же, да???
36	1120	Чувствуете? Это запах новых санкций... Пельш, зае%ал выходи уже и скажи что это все разыгрыш, я реально буду ждать тебя до последнего	1	Чувствуете? Это запах новых санкций... петух заебал выходи уже и скажи что это все пизденыш я реально буду ждать тебя до последнего
37	1127	[id362495093|Даниил], на%уй нам нужен доп. уголь? Это значит, что где-то надо будет снизить добычу?	0	[id362495093|Даниил], нахуй нам нужен жопа уголь? Это значит, что где-то надо будет снизить добычу?
38	1133	"Новый пакет санкций, на который ""нам"" (на самом деле только депутатам) наср*ть..."	0	"Новый пакет санкций, на который ""нам"" (на самом деле только депутатам) насрать"
39	1243	Ипанутые, прости господи Признавать их своими, чтобы официально ввести туда войска Итак в жопе сидим, из-за санкций и мёртвой экономики, давайте вообще по миру пойдем Госдуре заниматься больше нечем, проблем в стране нет, самое время их ещё вагон подкинуть	1	ебануть прости господи Признавать их своими, чтобы официально ввести туда войска Итак в жопе сидим, из-за санкций и мёртвой экономики, давайте вообще по миру пойдем говнище заниматься больше нечем, проблем в стране нет, самое время их ещё вагон подкинуть
40	1245	Украинцы сами себе в ногу выстрелили. Кулеба, Зеленский, Данилов прямым текстом сказали, что в том виде, в каком принят Минск-2, он выполнятся со стороны Украины не будет. Ну и че тогда с вами дураками делать? Не хотите выполнять что сами подписали - останетесь без Донбасса.  А доллар растёт не от санкций, а от всеобщей глобальной обстановке по всему миру. Умники, лять.	1	Украинцы сами себе в ногу выстрелили. ебал ебский Данилов прямым текстом сказали, что в том виде, в каком принят минет он выполнятся со стороны Украины не будет. Ну и хер тогда с вами дураками делать? Не хотите выполнять что сами подписали - останетесь без Донбасса.  А доллар растёт не от санкций, а от всеобщей глобальной обстановке по всему миру. Умники, блять
41	1257	[id15194789|Юрий], а зачем туда припи3дил Гиркин? Его отсутствие там не снизило бы количество жертв среди ополчения и мирных граждан?	0	[id15194789|Юрий], а зачем туда припиздень Гиркин? Его отсутствие там не снизило бы количество жертв среди ополчения и мирных граждан?
42	1349	[id13476681|Алексей], выглядит как бой г*вна и м*чи	0	[id13476681|Алексей], выглядит как бой говно и муди
43	1379	[id246098361|Артем], х.. ты угадал, помечтай	0	[id246098361|Артем], хер ты угадал, помечтай
44	1422	на сск! откуда ты?..-ой! извините пожалуйста...!	1	на сука откуда тупой извините пожалуйста...!
45	1430	Он конечно муд@к, но сразу видно кто в России хозяева.	1	Он конечно мудак но сразу видно кто в России хозяева.
46	1483	С какого х вы стали наркотики от алкашки разделять? Алкоголь это старший брат героина. Он первый	0	С какого хер вы стали наркотики от рашка разделять? Алкоголь это старший брат героина. Он первый
47	1702	[id612539258|Markus], офигенно же,у них неск национальных видов спорта с высочайшими рейтингами, а что есть у русни? Метание коровьего говна на дальность и приседание на бутылку? Позорище ипаное,еще подобие страны из себя корчит	1	[id612539258|Markus], охуенно жопу них уебк национальных видов спорта с высочайшими рейтингами, а что есть у россия Метание коровьего говна на дальность и приседание на бутылку? Позорище ебаное подобие страны из себя корчит
48	1723	Странно, что ВК не вставил свою йобануйу рекламу в эту рекламу	0	Странно, что бля не вставил свою ебаный рекламу в эту рекламу
49	1765	Мляяяя, фильмы то шикарные снимал, жаль мужика	0	бля фильмы то шикарные снимал, жаль мужика
50	1794	Как же сейчас по%уй на этих фигуристок.  Блин, кремлеботы заклюют	0	Как же сейчас похуй на этих фигуристок.  Блин, проебать заклюют
51	1795	[id665269165|Сергей], настолько по%уй, что не можешь молчать	0	[id665269165|Сергей], настолько похуй что не можешь молчать
52	1798	[id665269165|Сергей], было бы по%уй ты бы не писал здесь свой высер	1	[id665269165|Сергей], было бы похуй ты бы не писал здесь свой выеб
53	1800	"[id620468267|Алиса], ему ""по%уй"" на фигуристок, а на, что ему на них ""по%уй"" ему не ""по%уй"" - вот и не молчит. (-:"	0	[id620468267|Алиса], ему похуй на фигуристок, а на, что ему на них похуй ему не похуй - вот и не молчит. (-:
54	1832	[id5025046|Михаил], я не вкурсе,  но у неё фляга свистит уже давно.  Так что не удивлён,  если она что-то пиzданула	1	[id5025046|Михаил], я не шкура  но у неё фляга свистит уже давно.  Так что не удивлён,  если она что-то пиздануть
55	2020	вы просто дeбuлы	1	вы просто дебил
56	2021	дeбuлы, не устану троллить дeбuл0в??	1	дебил не устану дрочить дебил
57	2085	Главное что активные инициаторы в больницу слегли.?????? Опять всех наебали.??	0	Главное что активные инициаторы в больницу слегли.?????? Опять всех заебал
58	2098	[id620419423|Эдуард], кули вас спрашивать, даененок заднеприводный?	1	[id620419423|Эдуард], кули вас спрашивать, въебенн заднеприводный?
59	2123	[id131887586|Антон], епал я в рот и зад и твою уксраину и таких хохлов как ты!	1	[id131887586|Антон], ебал я в рот и зад и твою сраку и таких хохлов как ты!
60	2141	[id685229480|Владимир], Ну и шо из этого . Тебя в очередной раз от.имели .	1	[id685229480|Владимир], Ну и чмо из этого . Тебя в очередной раз напиздели .
61	2148	"Проиграет что ? С..ка , газпромовский е..ный ""дождь"" , я вот честно, больших пиарщиков питуна не видел еще . Все эти соловьикисели сосут у вас стоя . Что может проиграть запад володе ?"	1	"Проиграет что ? сука , подонки ебаный ""дождь"" , я вот честно, больших пиарщиков петух не видел еще . Все эти сикель сосут у вас стоя . Что может проиграть запад володе ?"
62	2157	[id349676717|Alexey], ну, вашего жидо-персидского говна везде полно. Просто при фашизме жидо-педерастов ФСБ ваш сраный выводок гадящего всегда и везде беспородного быдла распирать начало. Как будто дрожжи кинули в дерьмо, как пел еврейский певец и композитор Трофимов про убл)юдчную элитку вашего сброда помойных отбросов в парше и в погонах ФСБ в своей песне Аристократия помойки.	1	[id349676717|Alexey], ну, вашего пидорас говна везде полно. Просто при фашизме педерас ФСБ ваш сраный выводок гадящего всегда и везде беспородного быдла распирать начало. Как будто дрожжи кинули в дерьмо, как пел еврейский певец и композитор Трофимов про ублюдок блять вашего сброда помойных отбросов в парше и в погонах ФСБ в своей песне Аристократия помойки.
63	2162	[id51947755|Михаил], так и из сраной жидо-ч)урки в погонах генерала армии Шойгу такая же. Но другой у гэбэшно-еврейских выродков нет, все такие.	1	[id51947755|Михаил], так и из сраный пидорка в погонах генерала армии Шойгу такая же. Но другой у ебанический выродков нет, все такие.
64	2177	"[id51947755|Михаил], она в основном вся будет на белорусской мове , нам ""бульбабиндерам"" , такое даже в школах преподавали в 90 -х , но потом опомнились . Читайте карамурзу лучше , там ""истина"". Дело просто в том , что система ""русский"" , она уже 30 лет как про..бала, а это все рефлексия?????"	1	"[id51947755|Михаил], она в основном вся будет на белорусской муде , нам блядина , такое даже в школах преподавали в 90 лох , но потом опомнились . Читайте карамурзу лучше , там ""истина"". Дело просто в том , что система ""русский"" , она уже 30 лет как проебанка а это все рефлексия?????"
65	2202	[id131887586|Антон], гэбэшно-еврейская ч)урка, не скулите и не флудите. Нация помойного сучья	1	[id131887586|Антон], говенка сука не скулите и не блядище Нация помойного сучья
66	2207	"[id573289077|Логунов], на вот тебе на чисто русском языке из ""русского"" города киева: путин - xyuлo ))"	1	"[id573289077|Логунов], на вот тебе на чисто русском языке из ""русского"" города киева: путин - бля ))"
67	2216	[id461498232|Андрей], пусть не обижается но он ***ло	1	[id461498232|Андрей], пусть не обижается но он хуйло
68	2221	война будет, боты=дeбuлы говорят)	1	война будет, пиздоболы говорят)
69	2243	[id33838395|Артём], а ,товарищ куйло ,зачем вы своего наставника прислали.	1	[id33838395|Артём], а ,товарищ хуйло ,зачем вы своего наставника прислали.
70	2356	[id560950223|Andrey], ? Соросенок??? ???????? Это что-то новое. Значить ещё не научился писать. ??????? Ладно, пшел н@х@й отсюда, псина безмозглая..	1	[id560950223|Andrey], ? подонок ???????? Это что-то новое. Значить ещё не научился писать. ??????? Ладно, пшел нахуй отсюда, псина безмозглая..
71	2360	[id560950223|Andrey], или это в России такая традиция??? Когда пиzdдец экономике и внутри страны проблем выше крыши, проще завязать войнушку, а потом все списать на нее???	0	[id560950223|Andrey], или это в России такая традиция??? Когда пиздец экономике и внутри страны проблем выше крыши, проще завязать говешка а потом все списать на нее???
72	2371	[id159211105|Салават], как и все к чему он имеет отношение, все превращает в грязь сук@.	1	[id159211105|Салават], как и все к чему он имеет отношение, все превращает в грязь сук@.
73	2372	Вот же ж су.....и!	1	Вот же ж суки
74	2392	...какие,биллат,обидчивые..)	0	заебистое
75	2436	[id76298560|Максим], Если ты в ж.опе то сиди там молча а других не надо .	0	[id76298560|Максим], Если ты в жопа то сиди там молча а других не надо .
76	2464	[id201979830|Анастасия], это с вами пи*р*сами все ясно!	1	[id201979830|Анастасия], это с вами пидорас все ясно!
77	2511	[id303201232|Андрей], он не госслужащий чтоб перед тобой отчитываться! А вот твои хозяева из моих налогов клюют, ху.и ты их не спрашиваешь на что они себе дворцы отгрохали!?????	0	[id303201232|Андрей], он не госслужащий чтоб перед тобой отчитываться! А вот твои хозяева из моих налогов клюют, хуи ты их не спрашиваешь на что они себе дворцы отгрохали!?????
78	2514	"""потребовала""!Пи...да какая ""требовалку"" пора унять и помнить ,что ты жена зека террориста склонного к побегу!"	1	доебываться какая выебывать пора унять и помнить ,что ты жена зека террориста склонного к побегу!
79	2538	[id105502652|Илья], 15 будет суд над плешивым Навальным. Суд будет открытым. Даже его жена-проститутка хочет поторговать там еbaloм	1	[id105502652|Илья], 15 будет суд над плешивым Навальным. Суд будет открытым. Даже его надристать хочет поторговать там ебучим
80	2622	[id115521448|Vadym], дак у Пу же боты, и там танцы с бубнон были, ты что, солосья не смотрел)))Там все четко, ясно понятно рассказано!Б.лять, с какими дегенератами я общаюсь	1	[id115521448|Vadym], дак у Пу же боты, и там танцы с хуйло были, ты что, сволочь не сволота все четко, ясно понятно заговнять с какими дегенератами я общаюсь
81	2642	[id461498232|Андрей], беру свои слова назад, ты конченый е.ба.нат!	1	[id461498232|Андрей], беру свои слова назад, ты конченый ебанат
82	2654	Главная цель не величие страны,не достойная жизнь,а быть пpocтитykoй в натах...	0	Главная цель не величие сраный достойная жирный быть пиздуй в нахуй
83	2660	"Если Грузия и Украина не вступят в НАТО ,то рано или поздно рашка всё равно нападёт, с ХУ""ЛОМ или без ХУ""ЛА."	1	Если Грузия и Украина не вступят в НАТО ,то рано или поздно рашка всё равно нападёт, с хуйло или без хуйло
84	2679	Лень, просто иди на.ку.й!	1	Лень, просто иди нахуй
85	2759	[id597302285|Сергей], с головой дружишь, вояка, бл...?	1	[id597302285|Сергей], с головой дружишь, вояка, бля
86	2784	Ух ты бл... Да тут в комментах уже боевые действия начались! Подождите... Я за попкорном сбегаю...	0	Ух ты бля Да тут в комментах уже боевые действия начались! Подождите... Я за попкорном сбегаю...
87	2801	[id688989552|Виктор], сёстры - проститутки ) опять вы вместе ?) эту х@йню вам соловьёв вовка вещает ?)))	1	[id688989552|Виктор], сёстры - проститутки ) опять вы вместе ?) эту хуйня вам соловьёв вовка вещает ?)))
88	2839	[id634558825|Александр], да не ссы и остальным расскажи.,что хохлы на.. й никому не нужны.	1	[id634558825|Александр], да не ссы и остальным рашка хохлы на.. хуй никому не нужны.
89	2876	[id609119487|Владимир], вот и вали брать Киев, герой подполья, а не дро чи, семя на пол не роняй.	1	[id609119487|Владимир], вот и вали брать Киев, герой подполья, а не урод чи, семя на пол не роняй.
90	2891	[id10420513|Сергей], не волнуйся,ибaть тебя найдутся извращенцы...	1	[id10420513|Сергей], не охуячивать тебя найдутся извращенцы...
91	2903	Пиндосы  высосали вторжение из х..,а хохлы  теперь вместе со своими союзниками бегут из страны,все идёт по плану.	1	Пиндосы  высосали вторжение из хуета хохлы  теперь вместе со своими союзниками бегут из сраный идёт по плану.
